enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,quoteCurrency,underlying,restricted,highLeverageFeeExempt,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,tokenizedEquity
True,False,0.0001,1.0,1.0,0.8028,0.8027,0.8028,0.8028,spot,CAD,USD,,False,True,0.0,-0.00012454851164528583,0.0,71272.584,71272.584,
True,False,0.0025,0.1,0.1,14.8625,14.8575,14.8675,14.8625,future,,,CAKE,False,False,-0.0025167785234899327,-0.03631058518398444,-0.033804648139119126,7065189.06625,7065189.06625,
True,False,0.0005,0.1,0.1,6.128,6.125,6.1325,6.128,future,,,CEL,False,False,0.01929474384564205,-0.036705179596007234,-0.009295934039285426,578165.6803,578165.6803,
True,False,0.0005,0.1,0.1,6.121,6.1145,6.1415,6.121,future,,,CEL,False,False,0.01829978372982865,-0.04006900337175567,-0.011147011308562197,371384.6415,371384.6415,
True,False,0.0005,0.1,0.1,6.1725,6.116,6.1375,6.1375,future,,,CEL,False,False,0.017911932996102498,-0.034528865817209375,-0.006072874493927126,0.0,0.0,
True,False,1e-08,0.1,0.1,0.00018,0.00018,0.0001807,0.00018,spot,CEL,BTC,,False,True,0.019367991845056064,0.013342340820807297,0.03549444859920612,15.525373428,527842.0676699008,
True,False,0.0005,0.1,0.1,6.127,6.1225,6.127,6.127,spot,CEL,USD,,False,True,0.01997669385716664,-0.03610477464013215,-0.007612568837058633,4966126.1437,4966126.1437,
True,False,0.0025,0.1,0.1,23.905,22.7475,23.0625,23.0625,future,,,CGC,True,False,-0.00010838933448948623,-0.00032509752925877764,-0.0006499837504062399,0.0,0.0,True
True,False,0.0025,0.1,0.1,22.995,22.945,23.0,22.995,future,,,CGC,True,False,0.0,0.0003262642740619902,0.0003262642740619902,16.0965,16.0965,True
True,False,0.0025,0.1,0.1,23.005,22.8275,23.005,23.005,spot,CGC,USD,,True,True,0.0,0.0,0.0,0.0,0.0,True
True,False,1e-06,10.0,10.0,0.281985,0.28181,0.282002,0.281985,future,,,CHZ,False,False,0.007114463575875111,-0.04732866206747434,-0.008735543291032447,34475922.24202,34475922.24202,
True,False,1e-06,10.0,10.0,0.281881,0.281333,0.283525,0.281881,future,,,CHZ,False,False,0.005748028686623613,-0.04856718533769872,-0.007174606752653935,1516430.06892,1516430.06892,
